ID,UUID,SECURITY_CODE,SECURITY_NAME,ACCOUNTING_YEAR,DATA_YEAR,IS_DELETE,CONTEXTREF,CREATETIME,REPORT_TYPE,STAMP,PAGE_INDEX,SOURCE_URL,PRME00000M,PRME00010M,PRME00020M,PRME00030M,PRME00040M,PRME00050M,PRME00060M,PRME00070M,PRME00080M,PRME00090M,PRME00100M,PRME00110M,PRME00120M,PRME00130M,PRME00140M,PRME00150M,PRME00160M,PRME00170M,PRME00180M,PRME00190M,PRME00200M,PRME00210M,PRME00220M,PRME00230M,PRME00240M,PRME00250M,PRME00260M,PRME00270M,PRME00280M,PRME00290M,PRME00300M,PRME00310M,PRME00320M,PRME00330M,PRME00340M,PRME00350M,PRME00360M,PRME00370M,PRME00380M,PRME00390M,PRME00400M,PRME00410M,PRME00420M,PRME00430M,PRME00440M,PRME00450M,PRME00460M,PRME00470M,PRME00480M,PRME00490M,PRME00500M,PRME00510M,PRME00520M,PRME00530M,PRME00540M,PRME00550M,PRME00560M,PRME00570M,PRME00580M,PRME00590M,PRME00600M,PRME00610M,PRME00620M,PRME00630M,PRME00640M,PRME00650M,PRME00660M,PRME00670M,PRME00680M,PRME00690M,PRME00700M,PRME00710M,PRME00720M,PRME00730M,PRME00740M,PRME00750M,PRME00760M,PRME00770M,PRME00780M,PRME00790M,PRME00800M,PRME00810M,PRME00820M,PRME00830M,PRME00840M,PRME00850M,PRME00860M,PRME00870M,PRME00880M,PRME00890M,PRME00900M,PRME00910M,PRME00920M,PRME00930M,PRME00940M,PRME00950M,PRME00960M,PRME00970M,PRME00980M,PRME00990M,PRME01000M,PRME01010M,PRME01020M,PRME01030M,PRME01040M,PRME01050M,PRME01060M,PRME01070M,PRME01080M,PRME01090M,PRME01100M,PRME01110M,PRME01120M,PRME01130M,PRME01140M,PRME01150M,PRME01160M,PRME01170M,PRME01180M,PRME01190M,PRME01200M,PRME01210M,PRME01220M,PRME01230M,PRME01240M,PRME01250M,PRME01260M,PRME01270M,PRME01280M,PRME01290M,PRME01300M,PRME01310M,PRME01320M,PRME01330M,PRME01340M,PRME01350M,PRME01360M,PRME01370M,PRME01380M,PRME01390M,PRME01400M
42407,602fdcb098605becb066314cfe3fda46,430232,ST桦清,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/26,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524735077_507175.pdf,,62585718.56,62585718.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69007836.82,33052353.25,,,,,,,,,,,,,,,,,,,,,,389756.56,,,12204534.34,23696290.12,,,56920.1,,-392017.55,,,,,,,,19476590.13,,,188617.81,13243089.68,6178.43,,,,,,836.09,,,,13248432.02,-182678.4,,13431110.42,,1,13431110.42,,1,-4418.8,13435529.22,,,,,,,,,,,,,,,,,,13431110.42,13435529.22,,-4418.8,1,0.38,0.38,
42408,602fdcb098605becb066314cfe3fda46,430232,ST桦清,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/26,年度报告,2019/2/27,49,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524735077_507175.pdf,,78159497.33,78159497.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75694522.46,33056676.38,,,,,,,,,,,,,,,,,,,,,,1405327.57,,,8961365.96,32138566.31,,,17769.27,,114816.97,,,,,,200000,,-4406.42,,,,2660568.45,757742.03,,,,,,,,,,3418310.48,117544.65,,3300765.83,,1,3300765.83,,1,-24873.81,3325639.64,,,,,,,,,,,,,,,,,,3300765.83,3325639.64,,-24873.81,1,0.1,0.1,
119789,602fdcb098605becb066314cfe3fda46,430232,ST桦清,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/26,年度报告,2019/2/28,51,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524735077_507175.pdf,,8305272.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148064.11,,,,,,,,,,,,,,,,,,,,,,,65919.27,,,,9221752.01,,,5200.15,,-1439.22,,,,,,,,8694766.95,,,178192.27,6738735.13,28500000,,,,,,,,,,35238735.13,,,35238735.13,,,35238735.13,,,,,,,,,,,,,,,,,,,,,,35238735.13,,,,1,,,
119790,602fdcb098605becb066314cfe3fda46,430232,ST桦清,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/26,年度报告,2019/2/28,51,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524735077_507175.pdf,,12075085.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095412.37,,,,,,,,,,,,,,,,,,,,,,,128308.55,,,,11752756.18,,,6904.5,,-11548.08,,,,,,,,,,,,-896748.48,513921.09,,,,,,,,,,-382827.39,-31158.13,,-351669.26,,,-351669.26,,,,,,,,,,,,,,,,,,,,,,-351669.26,,,,1,,,
59563,1f2d3078542459ef9f86713d4b507feb,430233,星原丰泰,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/27,年度报告,2019/2/27,43,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524824292_525476.pdf,,23777691.53,23777691.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31562985.62,14243168.95,,,,,,,,,,,,,,,,,,,,,,187935.83,,,3343479.06,7529675.25,,,514175.97,,5744550.56,,,,,,,,,,,,-7785294.09,40945,,,,,,10050,,,,-7754399.09,-688910.08,,-7065489.01,,1,-7065489.01,,1,,-7065489.01,,,,,,,,,,,,,,,,,,-7065489.01,-7065489.01,,,1,-0.42,-0.42,
59564,1f2d3078542459ef9f86713d4b507feb,430233,星原丰泰,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/27,年度报告,2019/2/27,43,http://www.neeq.com.cn/disclosure/2018/2018-04-27/1524824292_525476.pdf,,31236747.46,31236747.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31177953.35,18596495.14,,,,,,,,,,,,,,,,,,,,,,367445.75,,,3605359.23,7450877.27,,,699143.94,,458632.02,,,,,,,,4234.19,,,,63028.3,602553.27,,,,,,715.74,,,,664865.83,-68794.8,,733660.63,,1,733660.63,,1,,733660.63,,,,,,,,,,,,,,,,,,733660.63,733660.63,,,1,0.04,0.04,
60997,19acdc65782253398a771bd2af993b31,430234,翼捷股份,2017/12/31,2017/12/31,0,合并年初至报告期末,2018/4/26,年度报告,2019/2/27,40,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524728885_943698.pdf,,154703767.8,154703767.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118524258.3,56461104.25,,,,,,,,,,,,,,,,,,,,,,1793842.18,,,29174089.01,26618867.24,,,-93078.67,,4569434.26,,,,,,,,,,,3980167.08,40159676.62,18482.14,,,,,,633906.47,,,,39544252.29,1070914.59,,38473337.7,,1,38473337.7,,1,,38473337.7,,,,,,,,,,,,,,,,,,38473337.7,38473337.7,,,1,1.12,1.12,
60998,19acdc65782253398a771bd2af993b31,430234,翼捷股份,2017/12/31,2016/12/31,0,合并上年年初至报告期末,2018/4/26,年度报告,2019/2/27,40,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524728885_943698.pdf,,93939240.06,93939240.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74673358.88,35688581.67,,,,,,,,,,,,,,,,,,,,,,710401.57,,,22151131.29,15389855.69,,,-163840.87,,897229.53,,,,,,60377.69,,,,,,19326258.87,4233223.01,,,,,,297.49,,,,23559184.39,3243976.54,,20315207.85,,1,20315207.85,,1,,20315207.85,,,,,,,,,,,,,,,,,,20315207.85,20315207.85,,,1,0.63,0.63,
143317,19acdc65782253398a771bd2af993b31,430234,翼捷股份,2017/12/31,2017/12/31,0,母公司年初至报告期末,2018/4/26,年度报告,2019/2/28,42,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524728885_943698.pdf,,125222470.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93012865.21,,,,,,,,,,,,,,,,,,,,,,,483944.5,,,18756274.82,14983162.59,,,-70238.03,,1888000.1,,,,,,5800000,,,,,464000,2432461.32,10789.21,,,,,,449346.97,,,,1993903.56,136034.76,,1857868.8,,,1857868.8,,,,,,,,,,,,,,,,,,,,,,1857868.8,,,,1,,,
143318,19acdc65782253398a771bd2af993b31,430234,翼捷股份,2017/12/31,2016/12/31,0,母公司上年年初至报告期末,2018/4/26,年度报告,2019/2/28,42,http://www.neeq.com.cn/disclosure/2018/2018-04-26/1524728885_943698.pdf,,68798142.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38244369,,,,,,,,,,,,,,,,,,,,,,,414588.06,,,15546376.97,11571200.52,,,-136978.11,,795805.1,,,,,,26741965.22,,,,,,29104745.83,1036000,,,,,,,,,,30140745.83,476890.22,,29663855.61,,,29663855.61,,,,,,,,,,,,,,,,,,,,,,29663855.61,,,,1,,,
