CODE,NAME,CLASS_1,TYPE_1,CLASS_2,TYPE_2,CLASS_3,TYPE_3
872197,大业堂,E,建筑业,50,建筑装饰和其他建筑业,509,其他未列明建筑业
872198,清铧股份,D,电力、热力、燃气及水生产和供应业,46,水的生产和供应业,461,自来水生产和供应
872199,第一文体,C,制造业,38,电气机械和器材制造业,383,电线、电缆、光缆及电工器材制造
872200,英斯瑞德,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872201,天澄环保,C,制造业,17,纺织业,178,非家用纺织制成品制造
872202,南大智慧,C,制造业,35,专用设备制造业,357,农、林、牧、渔专用机械制造
872203,羽健股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872204,格瑞新材,C,制造业,14,食品制造业,149,其他食品制造
872205,新思维,C,制造业,34,通用设备制造业,346,烘炉、风机、衡器、包装等设备制造
872206,聚成新材,C,制造业,24,文教、工美、体育和娱乐用品制造业,241,文教办公用品制造
872207,正泽科技,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872208,华博创科,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,649,其他互联网服务
872209,网娱互动,N,水利、环境和公共设施管理业,76,水利管理业,762,水资源管理
872210,兆丰环保,E,建筑业,49,建筑安装业,499,其他建筑安装业
872211,好兄弟,C,制造业,26,化学原料和化学制品制造业,266,专用化学产品制造
872212,秀域科技,A,农、林、牧、渔业,1,农业,14,蔬菜、食用菌及园艺作物种植
872213,宽惠股份,C,制造业,27,医药制造业,273,中药饮片加工
872215,精一科技,L,租赁和商务服务业,72,商务服务业,727,旅行社及相关服务
872216,东日环保,C,制造业,26,化学原料和化学制品制造业,261,基础化学原料制造
872217,航晨科技,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872218,汉辰信息,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872219,睿中实业,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,654,数据处理和存储服务
872220,光腾新能,D,电力、热力、燃气及水生产和供应业,44,电力、热力生产和供应业,441,电力生产
872221,华仿科技,R,文化、体育和娱乐业,87,文化艺术业,874,文物及非物质文化遗产保护
872222,孔凤春,C,制造业,42,废弃资源综合利用业,421,金属废料和碎屑加工处理
872223,维真视界,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872224,九州治水,L,租赁和商务服务业,72,商务服务业,724,广告业
872225,位智天下,C,制造业,15,酒、饮料和精制茶制造业,151,酒的制造
872226,晨光股份,C,制造业,40,仪器仪表制造业,401,通用仪器仪表制造
872227,一方美度,C,制造业,26,化学原料和化学制品制造业,268,日用化学产品制造
872230,智慧旅游,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872231,风行测控,P,教育,82,教育,829,技能培训、教育辅助及其他教育
872232,九博股份,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,651,软件开发
872233,金硅科技,E,建筑业,48,土木工程建筑业,481,铁路、道路、隧道和桥梁工程建筑
872235,云能智慧,I,信息传输、软件和信息技术服务业,65,软件和信息技术服务业,652,信息系统集成服务
872238,卡特马克,E,建筑业,47,房屋建筑业,470,房屋建筑业
872239,新烽光电,R,文化、体育和娱乐业,86,广播、电视、电影和影视录音制作业,863,电影和影视节目制作
872240,顺鑫昌,C,制造业,39,计算机、通信和其他电子设备制造业,397,电子元件制造
872241,卡联股份,C,制造业,41,其他制造业,413,核辐射加工
872242,雅琪生物,A,农、林、牧、渔业,5,农、林、牧、渔服务业,51,农业服务业
872244,盛达科技,C,制造业,42,废弃资源综合利用业,421,金属废料和碎屑加工处理
872245,绿泉环保,A,农、林、牧、渔业,3,畜牧业,31,牲畜饲养
872246,大千科技,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,641,互联网接入及相关服务
872247,富顺新材,A,农、林、牧、渔业,5,农、林、牧、渔服务业,51,农业服务业
872248,康明新,C,制造业,38,电气机械和器材制造业,384,电池制造
872249,蓝鼎餐饮,C,制造业,37,铁路、船舶、航空航天和其他运输设备制造业,376,自行车制造
872250,信谊股份,C,制造业,18,纺织服装、服饰业,182,针织或钩针编织服装制造
872251,英田影视,C,制造业,30,非金属矿物制品业,305,玻璃制品制造
872252,铭视科技,I,信息传输、软件和信息技术服务业,64,互联网和相关服务,642,互联网信息服务
872253,爱福股份,C,制造业,23,印刷和记录媒介复制业,231,印刷
872254,英华融泰,G,交通运输、仓储和邮政业,58,装卸搬运和运输代理业,582,运输代理业
872255,易乐股份,C,制造业,24,文教、工美、体育和娱乐用品制造业,245,玩具制造
872256,宏晟节能,C,制造业,17,纺织业,177,家用纺织制成品制造
872257,润康科技,C,制造业,39,计算机、通信和其他电子设备制造业,391,计算机制造
872258,技塑股份,A,农、林、牧、渔业,4,渔业,41,水产养殖
872259,滇草六味,C,制造业,40,仪器仪表制造业,404,光学仪器及眼镜制造
872260,长江期货,F,批发和零售业,51,批发业,515,医药及医疗器材批发
872261,华德水晶,C,制造业,30,非金属矿物制品业,305,玻璃制品制造
872262,优天下,L,租赁和商务服务业,72,商务服务业,729,其他商务服务业
872263,未来传媒,C,制造业,39,计算机、通信和其他电子设备制造业,392,通信设备制造
872264,雷神科技,A,农、林、牧、渔业,4,渔业,41,水产养殖
872265,亳州保安,E,建筑业,49,建筑安装业,492,管道和设备安装
872266,中智天弘,M,科学研究和技术服务业,75,科技推广和应用服务业,752,科技中介服务
872267,荣泰农业,K,房地产业,70,房地产业,702,物业管理
872269,润虹医药,K,房地产业,70,房地产业,702,物业管理
872270,博宇信息,F,批发和零售业,52,零售业,526,汽车、摩托车、燃料及零配件专门零售
872271,汉诺宝嘉,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872272,浣江水务,M,科学研究和技术服务业,74,专业技术服务业,748,工程技术
872273,宇洪科技,C,制造业,38,电气机械和器材制造业,382,输配电及控制设备制造
872274,欣隆环保,L,租赁和商务服务业,72,商务服务业,723,咨询与调查
872275,紫荆花,C,制造业,29,橡胶和塑料制品业,292,塑料制品业
872276,聚力粮机,L,租赁和商务服务业,72,商务服务业,724,广告业
872277,纵横智慧,E,建筑业,48,土木工程建筑业,489,其他土木工程建筑
872279,博可生物,C,制造业,35,专用设备制造业,359,环保、社会公共服务及其他专用设备制造
872281,环诺环保,C,制造业,38,电气机械和器材制造业,387,照明器具制造
